relative_path,size_bytes,modified_time_iso
01.Kosh/389_abhidhan_rajendra_kosh_part_06_016148_hr6.pdf,383975341,2025-09-28T18:06:46.000Z
01.Kosh/390_abhidhan_rajendra_kosh_part_07_016149_hr6.pdf,370842205,2025-09-28T18:05:58.000Z
Abhaykumar Charitra/023_B046397_abhaykumar_charitra_022669_hr6.pdf,82077868,2025-09-28T18:01:20.000Z
Acharang Sutra Bhavanuvad/acharang_sutra_bhavanuvad_part_01_033299_hr6.pdf,52830685,2025-09-28T17:58:20.000Z
Acharang Sutra Bhavanuvad/acharang_sutra_bhavanuvad_part_02_040035_hr6.pdf,34419676,2025-09-28T18:00:46.000Z
Acharang Sutra Bhavanuvad/acharang_sutra_bhavanuvad_part_03_040036_hr6.pdf,22256926,2025-09-28T18:00:46.000Z
Acharpradip/066_B024741_Achar_pradip_005786_HR6.pdf,69265051,2025-09-28T18:00:48.000Z
Adhyatma Upnishad/002_B006613_adhyatma_upnishad_part_01_023420_hr6.pdf,40961538,2025-09-28T17:58:58.000Z
Adhyatma Upnishad/003_B007040_adhyatma_upnishad_part_02_023421_std.pdf,44749861,2025-09-28T18:00:48.000Z
Adhyatmabindu/004_adhyatma_bindu_022281_hr6.pdf,25021076,2025-09-28T17:56:26.000Z
Adhyatmamatpariksha Shabdasha Vivechan/005_adhyatma_mat_pariksha_shabdasha_vivechan_part_01_005701_hr6.pdf,81539488,2025-09-28T18:00:46.000Z
Adhyatmamatpariksha Shabdasha Vivechan/006_adhyatma_mat_pariksha_shabdasha_vivechan_part_02_005702_hr6.pdf,52146241,2025-09-28T18:00:46.000Z
Adhyatmamatpariksha Shabdasha Vivechan/007_adhyatma_mat_pariksha_shabdasha_vivechan_part_03_005703_hr6.pdf,84199450,2025-09-28T18:01:10.000Z
Adhyatmasar Shabdasha Vivechan/008_adhyatmasar_shabdasha_vivechan_part_01_022059_hr6.pdf,38792813,2025-09-28T18:01:58.000Z
Adhyatmasar Shabdasha Vivechan/009_adhyatmasar_shabdasha_vivechan_part_02_022060_hr6.pdf,25945544,2025-09-28T17:55:42.000Z
Adhyatmasar Shabdasha Vivechan/010_adhyatmasar_shabdasha_vivechan_part_03_037090_hr6.pdf,39565577,2025-09-28T18:01:58.000Z
Adhyatmasar Shabdasha Vivechan/011_adhyatmasar_shabdasha_vivechan_part_04_037091_hr6.pdf,37454217,2025-09-28T18:01:58.000Z
Adhyatmasar Shabdasha Vivechan/012_adhyatmasar_shabdasha_vivechan_part_05_037092_hr6.pdf,38319281,2025-09-28T18:01:56.000Z
Adhyatmasar Shabdasha Vivechan/013_adhyatmasar_shabdasha_vivechan_part_06_037093_hr6.pdf,22786467,2025-09-28T18:01:30.000Z
Agam Satik Gujarati Anuwad/027_B035150_agam_03_sutrakritanga_sutra_satik_gujarati_anuvad_009035_std - Copy.pdf,43093005,2025-09-28T18:01:56.000Z
Agam Satik Gujarati Anuwad/029_B035152_agam_satik_part_05_sthananga_sutra_gujarati_anuwad_1_008996_std.pdf,43221447,2025-09-28T18:01:56.000Z
Agam Satik Gujarati Anuwad/030_B035153_agam_06_sthananga_sutra_satik_gujarati_anuvad_009036_std.pdf,48015174,2025-09-28T18:01:56.000Z
Agam Satik Gujarati Anuwad/031_B035154_agam_satik_part_07_sthananga_sutra_gujarati_anuwad_3_008998_std.pdf,43978624,2025-09-28T18:01:54.000Z
Agam Satik Gujarati Anuwad/032_B035155_agam_satik_part_08_samavay_sutra_gujarati_anuwad_008999_std.pdf,41653983,2025-09-28T18:01:54.000Z
Agam Satik Gujarati Anuwad/033_B035156_agam_09_bhagvati_sutra_1_satik_gujarati_anuvad_009038_std.pdf,44851770,2025-09-28T18:01:30.000Z
Agam Satik Gujarati Anuwad/034_B035157_agam_10_bhagvati_sutra_2_satik_gujarati_anuvad_009038_std.pdf,46169309,2025-09-28T18:01:56.000Z
Agam Satik Gujarati Anuwad/035_B035158_agam_11_bhagvati_sutra_3_satik_gujarati_anuvad_009038_std.pdf,40419345,2025-09-28T18:01:28.000Z
Agam Satik Gujarati Anuwad/036_B035159_agam_12_bhagvati_sutra_4_satik_gujarati_anuvad_009038_std.pdf,46346246,2025-09-28T18:01:28.000Z
Agam Satik Gujarati Anuwad/037_B035160_agam_13_bhagvati_sutra_5_satik_gujarati_anuvad_009038_std.pdf,42270559,2025-09-28T18:01:30.000Z
Agam Satik Gujarati Anuwad/038_B035161_agam_satik_part_14_gnatdharmkatha_sutra_gujarati_anuwad_009005_std.pdf,52756917,2025-09-28T18:01:30.000Z
